Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.00150800406	0.00150800406	0.00150800406	0.00150800406	0	0	0	0	0	0	0	3
2	2	0	0.05	0.000931883738	0.0012199439	0.000931883738	0.00150800406	0.00028806016	0	0	0	0	0	0	3
3	2	0	0.075	0.000649302366	0.00102973005	0.000649302366	0.00150800406	0.000478274004	0	0	0	0	0	0	3
4	2	0	0.1	0.000606399084	0.000923897311	0.000606399084	0.00150800406	0.000584106746	0	0	0	0	0	0	3
5	2	0	0.125	0.000612518787	0.000861621606	0.000606399084	0.00150800406	0.000646382451	0	0	0	0	0	0	3
6	3	0	0.15	0.000624671728	0.00082212996	0.000606399084	0.00150800406	0.000685874097	0	0	0	0	0	0	3
7	3	0	0.175	0.000639920596	0.000796100051	0.000606399084	0.00150800406	0.000711904006	0	0	0	0	0	0	3
8	3	0	0.2	0.00063715466	0.000776231877	0.000606399084	0.00150800406	0.00073177218	0	0	0	0	0	0	3
9	3	0	0.225	0.000624477417	0.00075937027	0.000606399084	0.00150800406	0.000748633787	0	0	0	0	0	0	3
10	4	0	0.25	0.00060679692	0.000744112935	0.000606399084	0.00150800406	0.000763891122	0	0	0	0	0	0	3
11	4	0	0.275	0.000590504742	0.000730148554	0.000590504742	0.00150800406	0.000777855503	0	0	0	0	0	0	3
12	4	0	0.3	0.000574560359	0.000717182871	0.000574560359	0.00150800406	0.000790821186	0	0	0	0	0	0	3
13	4	0	0.325	0.000557168655	0.000704874085	0.000557168655	0.00150800406	0.000803129972	0	0	0	0	0	0	3
14	4	0	0.35	0.000540688463	0.000693146541	0.000540688463	0.00150800406	0.000814857516	0	0	0	0	0	0	3
15	5	0	0.375	0.000531235861	0.000682352496	0.000531235861	0.00150800406	0.000825651562	0	0	0	0	0	0	3
16	5	0	0.4	0.000522991734	0.000672392448	0.000522991734	0.00150800406	0.000835611609	0	0	0	0	0	0	3
17	5	0	0.425	0.000511853033	0.000662948953	0.000511853033	0.00150800406	0.000845055104	0	0	0	0	0	0	3
18	5	0	0.45	0.000511108803	0.000654513389	0.000511108803	0.00150800406	0.000853490668	0	0	0	0	0	0	3
19	6	0	0.475	0.000507469513	0.000646774238	0.000507469513	0.00150800406	0.00086122982	0	0	0	0	0	0	3
20	6	0	0.5	0.0005039201	0.000639631531	0.0005039201	0.00150800406	0.000868372526	0	0	0	0	0	0	3
21	6	0	0.525	0.000499727036	0.00058921768	0.000499727036	0.000931883738	0.000432156702	0	0	0	0	0	0	3
22	6	0	0.55	0.000495767777	0.000567411882	0.000495767777	0.000649302366	0.000153534589	0	0	0	0	0	0	3
23	6	0	0.575	0.00049081612	0.00055948757	0.00049081612	0.000639920596	0.000149104476	0	0	0	0	0	0	3
24	7	0	0.6	0.000489508733	0.000553643052	0.000489508733	0.000639920596	0.000150411863	0	0	0	0	0	0	3
25	7	0	0.625	0.000485846165	0.000547309421	0.000485846165	0.000639920596	0.000154074431	0	0	0	0	0	0	3
26	7	0	0.65	0.000485690669	0.000540360368	0.000485690669	0.000639920596	0.000154229927	0	0	0	0	0	0	3
27	7	0	0.675	0.000483488989	0.000532538788	0.000483488989	0.00063715466	0.000153665671	0	0	0	0	0	0	3
28	8	0	0.7	0.000484882658	0.000524925188	0.000483488989	0.000624477417	0.000140988428	0	0	0	0	0	0	3
29	8	0	0.725	0.000483416307	0.000517872132	0.000483416307	0.00060679692	0.000123380613	0	0	0	0	0	0	3
30	8	0	0.75	0.000485728333	0.000511818703	0.000483416307	0.000590504742	0.000107088435	0	0	0	0	0	0	3
31	8	0	0.775	0.000485213506	0.000506554141	0.000483416307	0.000574560359	9.11440518e-05	0	0	0	0	0	0	3
32	9	0	0.8	0.000485773701	0.000502114808	0.000483416307	0.000557168655	7.37523482e-05	0	0	0	0	0	0	3
33	9	0	0.825	0.000485858777	0.000498549314	0.000483416307	0.000540688463	5.72721559e-05	0	0	0	0	0	0	3
34	9	0	0.85	0.000485544843	0.000495792133	0.000483416307	0.000531235861	4.78195543e-05	0	0	0	0	0	0	3
35	9	0	0.875	0.000484621821	0.000493461431	0.000483416307	0.000522991734	3.95754273e-05	0	0	0	0	0	0	3
36	10	0	0.9	0.000485575143	0.000491590601	0.000483416307	0.000511853033	2.84367263e-05	0	0	0	0	0	0	3
37	10	0	0.925	0.000485038953	0.000490249897	0.000483416307	0.000511108803	2.76924961e-05	0	0	0	0	0	0	3
38	10	0	0.95	0.000485365675	0.000488962741	0.000483416307	0.000507469513	2.40532057e-05	0	0	0	0	0	0	3
39	10	0	0.975	0.000485702323	0.000487874382	0.000483416307	0.0005039201	2.05037932e-05	0	0	0	0	0	0	3
40	10	0	1	0.00048694551	0.000487025652	0.000483416307	0.000499727036	1.63107292e-05	2.48829088e-05	0	100	0	0	0	3
