Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101325.088	101325.088	101325.088	101325.088	0	0	0	0	407.102	0	0	3
2	2	0	0.05	101324.997	101325.043	101324.997	101325.088	0.0454483358	0	0	0	215.828	0	0	3
3	2	0	0.075	101325.021	101325.035	101324.997	101325.088	0.0526938046	0	0	0	220.218	0	0	3
4	2	0	0.1	101325.009	101325.029	101324.997	101325.088	0.0593949834	0	0	0	223.449	0	0	3
5	2	0	0.125	101325.021	101325.027	101324.997	101325.088	0.061023766	0	0	0	207.925	0	0	3
6	3	0	0.15	101325.011	101325.024	101324.997	101325.088	0.0636734193	0	0	0	185.484	0	0	3
7	3	0	0.175	101325.016	101325.023	101324.997	101325.088	0.0648238972	0	0	0	177.492	0	0	3
8	3	0	0.2	101325.012	101325.022	101324.997	101325.088	0.0662732052	0	0	0	151.761	0	0	3
9	3	0	0.225	101325.012	101325.021	101324.997	101325.088	0.0674152261	0	0	0	134.197	0	0	3
10	4	0	0.25	101325.009	101325.02	101324.997	101325.088	0.0685524084	0	0	0	126.624	0	0	3
11	4	0	0.275	101325.008	101325.018	101324.997	101325.088	0.0696242413	0	0	0	117.994	0	0	3
12	4	0	0.3	101325.005	101325.017	101324.997	101325.088	0.0707263175	0	0	0	110.805	0	0	3
13	4	0	0.325	101325.001	101325.016	101324.997	101325.088	0.0719822181	0	0	0	107.092	0	0	3
14	4	0	0.35	101324.999	101325.015	101324.997	101325.088	0.0731990967	0	0	0	101.007	0	0	3
15	5	0	0.375	101324.996	101325.014	101324.996	101325.088	0.0744891704	0	0	0	99.5332	0	0	3
16	5	0	0.4	101324.996	101325.012	101324.996	101325.088	0.0756205785	0	0	0	96.9815	0	0	3
17	5	0	0.425	101324.992	101325.011	101324.992	101325.088	0.0768155332	0	0	0	96.701	0	0	3
18	5	0	0.45	101324.99	101325.01	101324.99	101325.088	0.0779808316	0	0	0	96.0234	0	0	3
19	6	0	0.475	101324.988	101325.009	101324.988	101325.088	0.0791618399	0	0	0	95.3808	0	0	3
20	6	0	0.5	101324.988	101325.008	101324.988	101325.088	0.0802030561	0	0	0	95.6987	0	0	3
21	6	0	0.525	101324.988	101325.003	101324.988	101325.021	0.0332352466	0	0	0	95.5467	0	0	3
22	6	0	0.55	101324.987	101325.002	101324.987	101325.021	0.0330160948	0	0	0	95.2091	0	0	3
23	6	0	0.575	101324.986	101325.001	101324.986	101325.021	0.0280527553	0	0	0	94.6413	0	0	3
24	7	0	0.6	101324.985	101324.999	101324.985	101325.021	0.0275904892	0	0	0	94.0615	0	0	3
25	7	0	0.625	101324.984	101324.998	101324.984	101325.016	0.0267437845	0	0	0	93.3715	0	0	3
26	7	0	0.65	101324.984	101324.996	101324.984	101325.016	0.0269273816	0	0	0	92.9106	0	0	3
27	7	0	0.675	101324.985	101324.995	101324.984	101325.012	0.0270382837	0	0	0	92.4853	0	0	3
28	8	0	0.7	101324.987	101324.994	101324.984	101325.012	0.0270517933	0	0	0	92.0864	0	0	3
29	8	0	0.725	101324.987	101324.992	101324.984	101325.009	0.0248161364	0	0	0	91.6799	0	0	3
30	8	0	0.75	101324.988	101324.991	101324.984	101325.008	0.0232606164	0	0	0	91.325	0	0	3
31	8	0	0.775	101324.988	101324.99	101324.984	101325.005	0.0207540307	0	0	0	91.0773	0	0	3
32	9	0	0.8	101324.989	101324.989	101324.984	101325.001	0.0165501601	0	0	0	90.8015	0	0	3
33	9	0	0.825	101324.989	101324.989	101324.984	101324.999	0.0145846682	0	0	0	90.5387	0	0	3
34	9	0	0.85	101324.989	101324.988	101324.984	101324.996	0.0110529833	0	0	0	90.3019	0	0	3
35	9	0	0.875	101324.989	101324.988	101324.984	101324.996	0.0110114873	0	0	0	90.1155	0	0	3
36	10	0	0.9	101324.989	101324.988	101324.984	101324.992	0.00766837665	0	0	0	89.9547	0	0	3
37	10	0	0.925	101324.989	101324.987	101324.984	101324.99	0.00581228142	0	0	0	89.8487	0	0	3
38	10	0	0.95	101324.989	101324.987	101324.984	101324.989	0.00481927329	0	0	0	89.6793	0	0	3
39	10	0	0.975	101324.989	101324.987	101324.984	101324.989	0.00481927329	0	0	0	89.562	0	0	3
40	10	0	1	101324.989	101324.987	101324.984	101324.989	0.00481927329	0.00546276659	0	0	89.3942	0	0	3
