Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.200034	293.200034	293.200034	293.200034	0	0	0	0	0.0357656	0	0	3
2	2	0	0.05	293.200046	293.20004	293.200034	293.200046	6.13036116e-06	0	0	0	0.0296103	0	0	3
3	2	0	0.075	293.200052	293.200044	293.200034	293.200052	1.01962445e-05	0	0	0	0.0260696	0	0	3
4	2	0	0.1	293.200058	293.200048	293.200034	293.200058	1.37130976e-05	0	0	0	0.0237347	0	0	3
5	2	0	0.125	293.200064	293.200051	293.200034	293.200064	1.69252153e-05	0	0	0	0.022258	0	0	3
6	3	0	0.15	293.200074	293.200055	293.200034	293.200074	2.07762886e-05	0	0	0	0.0221198	0	0	3
7	3	0	0.175	293.200086	293.200059	293.200034	293.200086	2.52680944e-05	0	0	0	0.0219454	0	0	3
8	3	0	0.2	293.200099	293.200064	293.200034	293.200099	3.02268469e-05	0	0	0	0.0229891	0	0	3
9	3	0	0.225	293.200112	293.20007	293.200034	293.200112	3.54800552e-05	0	0	0	0.0239197	0	0	3
10	4	0	0.25	293.200124	293.200075	293.200034	293.200124	4.08992678e-05	0	0	0	0.0242826	0	0	3
11	4	0	0.275	293.200141	293.200081	293.200034	293.200141	4.68967067e-05	0	0	0	0.0246046	0	0	3
12	4	0	0.3	293.200157	293.200087	293.200034	293.200157	5.32041936e-05	0	0	0	0.0245981	0	0	3
13	4	0	0.325	293.200171	293.200094	293.200034	293.200171	5.96426893e-05	0	0	0	0.0245855	0	0	3
14	4	0	0.35	293.200184	293.2001	293.200034	293.200184	6.61121613e-05	0	0	0	0.0249537	0	0	3
15	5	0	0.375	293.200196	293.200107	293.200034	293.200196	7.25080334e-05	0	0	0	0.0250615	0	0	3
16	5	0	0.4	293.200211	293.200113	293.200034	293.200211	7.90288013e-05	0	0	0	0.0254438	0	0	3
17	5	0	0.425	293.200223	293.20012	293.200034	293.200223	8.55022158e-05	0	0	0	0.0256527	0	0	3
18	5	0	0.45	293.200233	293.200126	293.200034	293.200233	9.18130177e-05	0	0	0	0.0254304	0	0	3
19	6	0	0.475	293.200242	293.200132	293.200034	293.200242	9.78975307e-05	0	0	0	0.0254829	0	0	3
20	6	0	0.5	293.200248	293.200138	293.200034	293.200248	0.000103722907	0	0	0	0.025362	0	0	3
21	6	0	0.525	293.200256	293.200149	293.200046	293.200256	0.000108701851	0	0	0	0.0253892	0	0	3
22	6	0	0.55	293.200262	293.20016	293.200052	293.200262	0.000115437649	0	0	0	0.0252685	0	0	3
23	6	0	0.575	293.200267	293.20017	293.200058	293.200267	0.000122668138	0	0	0	0.025354	0	0	3
24	7	0	0.6	293.200271	293.200181	293.200064	293.200271	0.000130096442	0	0	0	0.0252997	0	0	3
25	7	0	0.625	293.200274	293.200192	293.200074	293.200274	0.000136772553	0	0	0	0.025119	0	0	3
26	7	0	0.65	293.200279	293.200202	293.200086	293.200279	0.000142508283	0	0	0	0.0249803	0	0	3
27	7	0	0.675	293.200282	293.200212	293.200099	293.200282	0.000147335717	0	0	0	0.0254092	0	0	3
28	8	0	0.7	293.200285	293.200221	293.200112	293.200285	0.000151392915	0	0	0	0.0248345	0	0	3
29	8	0	0.725	293.200288	293.20023	293.200124	293.200288	0.000154771284	0	0	0	0.0251809	0	0	3
30	8	0	0.75	293.20029	293.200238	293.200141	293.20029	0.000148819831	0	0	0	0.024911	0	0	3
31	8	0	0.775	293.200293	293.200246	293.200157	293.200293	0.000136086158	0	0	0	0.0251936	0	0	3
32	9	0	0.8	293.200294	293.200253	293.200171	293.200294	0.000123281391	0	0	0	0.0246187	0	0	3
33	9	0	0.825	293.200296	293.200259	293.200184	293.200296	0.00011215713	0	0	0	0.0252476	0	0	3
34	9	0	0.85	293.200297	293.200264	293.200196	293.200297	0.000101283862	0	0	0	0.0246736	0	0	3
35	9	0	0.875	293.200299	293.20027	293.200211	293.200299	8.77047273e-05	0	0	0	0.0252089	0	0	3
36	10	0	0.9	293.200298	293.200274	293.200223	293.200299	7.54682002e-05	0	0	0	0.0244058	0	0	3
37	10	0	0.925	293.200299	293.200278	293.200233	293.200299	6.59944488e-05	0	0	0	0.0252948	0	0	3
38	10	0	0.95	293.200298	293.200281	293.200242	293.200299	5.76723336e-05	0	0	0	0.0244135	0	0	3
39	10	0	0.975	293.200299	293.200284	293.200248	293.200299	5.06860527e-05	0	0	0	0.0250973	0	0	3
40	10	0	1	293.200298	293.200286	293.200256	293.200299	4.29049801e-05	3.70144631e-05	0	0	0.0243168	0	0	3
