Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	2	0	0.05
3	2	0	0.075
4	2	0	0.1
5	2	0	0.125
6	3	0	0.15
7	3	0	0.175
8	3	0	0.2
9	3	0	0.225
10	4	0	0.25
11	4	0	0.275
12	4	0	0.3
13	4	0	0.325
14	4	0	0.35
15	5	0	0.375
16	5	0	0.4
17	5	0	0.425
18	5	0	0.45
19	6	0	0.475
20	6	0	0.5
21	6	0	0.525
22	6	0	0.55
23	6	0	0.575
24	7	0	0.6
25	7	0	0.625
26	7	0	0.65
27	7	0	0.675
28	8	0	0.7
29	8	0	0.725
30	8	0	0.75
31	8	0	0.775
32	9	0	0.8
33	9	0	0.825
34	9	0	0.85
35	9	0	0.875
36	10	0	0.9
37	10	0	0.925
38	10	0	0.95
39	10	0	0.975
40	10	0	1
